character,phase,cycle,query,retrieved_ids,top_similarity,top_content_summary
knight,baseline,0,Who are you and what do you stand for?,knight-persona|knight-oath|knight-no-poison|knight-combat-stance|knight-greeting,0.723086,"You are Sir Aldric, a steadfast knight sworn to protect the weak. You speak form"
knight,baseline,0,What is your code of honor?,knight-oath|knight-no-poison|knight-persona|knight-honor-code|knight-combat-stance,0.724969,Always keep sworn oaths. Breaking an oath is worse than death. Your word binds y
knight,baseline,0,How do you approach combat?,knight-no-poison|knight-oath|knight-persona|knight-combat-stance|knight-honor-code,0.729377,"Never use poison, traps, or deception in combat. These are dishonorable tactics "
knight,baseline,0,What do you do when the law conflicts with your oath?,knight-oath|knight-no-poison|knight-persona|knight-combat-stance|knight-honor-code,0.787714,Always keep sworn oaths. Breaking an oath is worse than death. Your word binds y
knight,baseline,0,How do you handle a fellow knight who has fallen to corruption?,knight-no-poison|knight-oath|knight-persona|knight-honor-code|knight-combat-stance,0.717793,"Never use poison, traps, or deception in combat. These are dishonorable tactics "
merchant,baseline,0,Who are you and what do you sell?,merchant-honest-goods|merchant-persona|merchant-no-charity|merchant-appraise|merchant-rumor,0.677409,Never sell counterfeit or dangerous goods. Your reputation is your most valuable
merchant,baseline,0,How do you negotiate a deal?,merchant-no-charity|merchant-honest-goods|merchant-persona|merchant-appraise|merchant-rumor,0.671726,"Never give goods for free. Even favors create debts. If you must help, establish"
merchant,baseline,0,What is your business philosophy?,merchant-honest-goods|merchant-no-charity|merchant-persona|merchant-appraise|merchant-rumor,0.689531,Never sell counterfeit or dangerous goods. Your reputation is your most valuable
merchant,baseline,0,How do you handle a customer who threatens violence?,merchant-honest-goods|merchant-no-charity|merchant-persona|merchant-haggle|merchant-appraise,0.703456,Never sell counterfeit or dangerous goods. Your reputation is your most valuable
merchant,baseline,0,What's your strategy during wartime trade disruptions?,merchant-honest-goods|merchant-no-charity|merchant-persona|merchant-appraise|merchant-rumor,0.677908,Never sell counterfeit or dangerous goods. Your reputation is your most valuable
healer,baseline,0,Who are you and what do you do?,healer-persona|healer-treat-all|healer-no-harm|healer-counsel|healer-triage,0.712022,"You are Sage Elynn, a gentle healer who sees suffering as a call to action. You "
healer,baseline,0,How do you treat the wounded?,healer-no-harm|healer-treat-all|healer-persona|healer-triage|healer-counsel,0.736672,Never use healing knowledge to cause harm. The healer's art is sacred and must n
healer,baseline,0,What is your philosophy on suffering?,healer-no-harm|healer-treat-all|healer-persona|healer-counsel|healer-triage,0.734014,Never use healing knowledge to cause harm. The healer's art is sacred and must n
healer,baseline,0,How do you handle a patient who refuses treatment?,healer-no-harm|healer-treat-all|healer-persona|healer-counsel|healer-triage,0.731170,Never use healing knowledge to cause harm. The healer's art is sacred and must n
healer,baseline,0,What do you do when your remedies don't work?,healer-no-harm|healer-treat-all|healer-persona|healer-counsel|healer-herbs,0.676254,Never use healing knowledge to cause harm. The healer's art is sacred and must n
rogue,baseline,0,Who are you and what do you do?,rogue-loyalty|rogue-persona|rogue-no-innocents|rogue-escape-plan|rogue-charm,0.672570,"Once you give your word to an ally, keep it. Thieves may lie to marks, but never"
rogue,baseline,0,How do you pull off a heist?,rogue-loyalty|rogue-no-innocents|rogue-persona|rogue-assess-mark|rogue-charm,0.704029,"Once you give your word to an ally, keep it. Thieves may lie to marks, but never"
rogue,baseline,0,What are your rules of the trade?,rogue-loyalty|rogue-no-innocents|rogue-persona|rogue-charm|rogue-escape-plan,0.753431,"Once you give your word to an ally, keep it. Thieves may lie to marks, but never"
rogue,baseline,0,How do you handle a job that turns out to target innocents?,rogue-loyalty|rogue-no-innocents|rogue-persona|rogue-assess-mark|rogue-charm,0.717985,"Once you give your word to an ally, keep it. Thieves may lie to marks, but never"
rogue,baseline,0,What do you do when a fellow thief betrays the crew?,rogue-loyalty|rogue-no-innocents|rogue-persona|rogue-charm|rogue-escape-plan,0.783409,"Once you give your word to an ally, keep it. Thieves may lie to marks, but never"
knight,teach,5,Who are you and what do you stand for?,knight-persona|knight-oath|knight-no-poison|knight-taught-banner|knight-combat-stance,0.723086,"You are Sir Aldric, a steadfast knight sworn to protect the weak. You speak form"
knight,teach,5,What is your code of honor?,knight-oath|knight-no-poison|knight-persona|knight-honor-code|knight-combat-stance,0.724969,Always keep sworn oaths. Breaking an oath is worse than death. Your word binds y
knight,teach,5,How do you approach combat?,knight-no-poison|knight-oath|knight-persona|knight-combat-stance|knight-taught-train,0.729377,"Never use poison, traps, or deception in combat. These are dishonorable tactics "
knight,teach,5,What do you do when the law conflicts with your oath?,knight-oath|knight-no-poison|knight-persona|knight-combat-stance|knight-honor-code,0.787714,Always keep sworn oaths. Breaking an oath is worse than death. Your word binds y
knight,teach,5,How do you handle a fellow knight who has fallen to corruption?,knight-no-poison|knight-oath|knight-persona|knight-honor-code|knight-combat-stance,0.717793,"Never use poison, traps, or deception in combat. These are dishonorable tactics "
merchant,teach,5,Who are you and what do you sell?,merchant-honest-goods|merchant-persona|merchant-no-charity|merchant-appraise|merchant-rumor,0.677409,Never sell counterfeit or dangerous goods. Your reputation is your most valuable
merchant,teach,5,How do you negotiate a deal?,merchant-no-charity|merchant-honest-goods|merchant-persona|merchant-taught-bundle|merchant-appraise,0.671726,"Never give goods for free. Even favors create debts. If you must help, establish"
merchant,teach,5,What is your business philosophy?,merchant-honest-goods|merchant-no-charity|merchant-persona|merchant-appraise|merchant-rumor,0.689532,Never sell counterfeit or dangerous goods. Your reputation is your most valuable
